stationid,date,year,month,day,variable,value,station_name,latitude
USH00412797,1907-03-31,1907,mar,31,tavg,16.9,EL PASO AP,31.8111
USH00412797,1907-04-30,1907,apr,30,tavg,18.84,EL PASO AP,31.8111
USH00412797,1907-05-31,1907,may,31,tavg,20.48,EL PASO AP,31.8111
USH00412797,1907-06-30,1907,jun,30,tavg,25.98,EL PASO AP,31.8111
USH00412797,1907-07-31,1907,jul,31,tavg,28.23,EL PASO AP,31.8111
USH00412797,1907-08-31,1907,aug,31,tavg,27.54,EL PASO AP,31.8111
USH00412797,1907-09-30,1907,sep,30,tavg,24.53,EL PASO AP,31.8111
USH00412797,1907-10-31,1907,oct,31,tavg,18.26,EL PASO AP,31.8111
USH00412797,1907-11-30,1907,nov,30,tavg,10.7,EL PASO AP,31.8111
USH00412797,1907-12-31,1907,dec,31,tavg,9.76,EL PASO AP,31.8111
USH00412797,1908-01-31,1908,jan,31,tavg,8.75,EL PASO AP,31.8111
USH00412797,1908-02-29,1908,feb,29,tavg,10.89,EL PASO AP,31.8111
USH00412797,1908-03-31,1908,mar,31,tavg,16.28,EL PASO AP,31.8111
USH00412797,1908-04-30,1908,apr,30,tavg,17.98,EL PASO AP,31.8111
USH00412797,1908-05-31,1908,may,31,tavg,21.76,EL PASO AP,31.8111
USH00412797,1908-06-30,1908,jun,30,tavg,28.25,EL PASO AP,31.8111
USH00412797,1908-07-31,1908,jul,31,tavg,26.81,EL PASO AP,31.8111
USH00412797,1908-08-31,1908,aug,31,tavg,26.42,EL PASO AP,31.8111
USH00412797,1908-09-30,1908,sep,30,tavg,23.89,EL PASO AP,31.8111
USH00412797,1908-10-31,1908,oct,31,tavg,17.2,EL PASO AP,31.8111
USH00412797,1908-11-30,1908,nov,30,tavg,11.59,EL PASO AP,31.8111
USH00412797,1908-12-31,1908,dec,31,tavg,9.17,EL PASO AP,31.8111
USH00412797,1909-01-31,1909,jan,31,tavg,11.45,EL PASO AP,31.8111
USH00412797,1909-02-28,1909,feb,28,tavg,9.86,EL PASO AP,31.8111
USH00412797,1909-03-31,1909,mar,31,tavg,12.42,EL PASO AP,31.8111
USH00412797,1909-04-30,1909,apr,30,tavg,18.25,EL PASO AP,31.8111
USH00412797,1909-05-31,1909,may,31,tavg,21.64,EL PASO AP,31.8111
USH00412797,1909-06-30,1909,jun,30,tavg,28.31,EL PASO AP,31.8111
USH00412797,1909-07-31,1909,jul,31,tavg,28.76,EL PASO AP,31.8111
USH00412797,1909-08-31,1909,aug,31,tavg,27.67,EL PASO AP,31.8111
